datetime	ipAddress	domain	architecture	platform	os	key	dateDelay	timeDelay	persistence	loadShellcode	reverseShell	reverseIP	reversePort
2021-08-03 09:20:22.312937	unknown	unknown	unknown	unknown	unknown	None	None	None	None	False	False	None	None
datetime	ipAddress	domain	architecture	platform	os	key	dateDelay	timeDelay	persistence	loadShellcode	reverseShell	reverseIP	reversePort
2021-08-03 09:24:53.589653	unknown	unknown	unknown	unknown	unknown	None	None	None	None	False	False	None	None
datetime	ipAddress	domain	architecture	platform	os	key	dateDelay	timeDelay	persistence	loadShellcode	reverseShell	reverseIP	reversePort
2021-08-03 09:26:12.438711	unknown	unknown	unknown	unknown	unknown	None	None	None	None	False	False	None	None
datetime	ipAddress	domain	architecture	platform	os	key	dateDelay	timeDelay	persistence	loadShellcode	reverseShell	reverseIP	reversePort
2021-08-03 09:28:59.146531	unknown	unknown	unknown	unknown	unknown	None	None	None	None	False	False	None	None
datetime	ipAddress	domain	architecture	platform	os	key	dateDelay	timeDelay	persistence	loadShellcode	reverseShell	reverseIP	reversePort
2021-08-03 09:31:47.989429	unknown	unknown	unknown	unknown	unknown	None	None	None	None	False	False	None	None
datetime	ipAddress	domain	architecture	platform	os	key	dateDelay	timeDelay	persistence	loadShellcode	reverseShell	reverseIP	reversePort
2021-08-03 09:33:01.895248	unknown	unknown	unknown	unknown	unknown	None	None	None	None	False	False	None	None
datetime	ipAddress	domain	architecture	platform	os	key	dateDelay	timeDelay	persistence	loadShellcode	reverseShell	reverseIP	reversePort
2021-08-03 09:34:30.770515	unknown	unknown	unknown	unknown	unknown	None	None	None	None	False	False	None	None
datetime	ipAddress	domain	architecture	platform	os	key	dateDelay	timeDelay	persistence	loadShellcode	reverseShell	reverseIP	reversePort
2021-08-03 09:35:49.556406	unknown	unknown	unknown	unknown	unknown	None	None	None	None	False	False	None	None
datetime	ipAddress	domain	architecture	platform	os	key	dateDelay	timeDelay	persistence	loadShellcode	reverseShell	reverseIP	reversePort
2021-08-03 09:40:34.711846	unknown	unknown	unknown	unknown	unknown	None	None	None	None	False	False	None	None
