datetime	ipAddress	SECRET_PORTS	domain	architecture	platform	os	key	dateDelay	timeDelay	persistence	loadShellcode	reverseShell	reverseIP	reversePort
2021-08-13 08:19:18.991923	192.168.204.138	[8057, 6110, 1242]	unknown	unknown	unknown	unknown	None	None	None	None	False	True	192.168.204.138	42069
datetime	ipAddress	SECRET_PORTS	domain	architecture	platform	os	key	dateDelay	timeDelay	persistence	loadShellcode	reverseShell	reverseIP	reversePort
2021-08-13 08:23:53.505570	192.168.204.138	[7886, 2432, 4377]	unknown	unknown	unknown	unknown	None	None	None	None	False	True	192.168.204.138	42069
datetime	ipAddress	SECRET_PORTS	domain	architecture	platform	os	key	dateDelay	timeDelay	persistence	loadShellcode	reverseShell	reverseIP	reversePort
2021-08-13 08:25:10.747817	192.168.204.138	[6876, 5143, 5818]	unknown	unknown	unknown	unknown	None	None	None	None	False	True	192.168.204.138	42069
datetime	ipAddress	SECRET_PORTS	domain	architecture	platform	os	key	dateDelay	timeDelay	persistence	loadShellcode	reverseShell	reverseIP	reversePort
2021-08-13 08:28:35.843371	192.168.204.138	[3965, 4154, 5817]	unknown	unknown	unknown	Linux	None	None	None	None	False	True	192.168.204.138	42069
datetime	ipAddress	SECRET_PORTS	domain	architecture	platform	os	key	dateDelay	timeDelay	persistence	loadShellcode	reverseShell	reverseIP	reversePort
2021-08-13 08:41:30.205636	192.168.204.138	[1934, 2392, 7251]	unknown	unknown	unknown	Linux	None	None	None	None	False	True	192.168.204.138	42069
datetime	ipAddress	SECRET_PORTS	domain	architecture	platform	os	key	dateDelay	timeDelay	persistence	loadShellcode	reverseShell	reverseIP	reversePort
2021-08-13 08:43:04.934030	192.168.204.138	[2094, 2631, 3093]	unknown	unknown	unknown	Linux	None	None	None	None	False	True	192.168.204.138	42069
datetime	ipAddress	SECRET_PORTS	domain	architecture	platform	os	key	dateDelay	timeDelay	persistence	loadShellcode	reverseShell	reverseIP	reversePort
2021-08-13 08:44:38.051623	192.168.204.138	[3844, 2354, 2903]	unknown	unknown	unknown	macOS	None	None	None	None	False	True	192.168.204.138	42069
datetime	ipAddress	SECRET_PORTS	domain	architecture	platform	os	key	dateDelay	timeDelay	persistence	loadShellcode	reverseShell	reverseIP	reversePort
2021-08-13 08:48:20.924773	192.168.204.138	[5154, 5726, 4155]	unknown	unknown	unknown	macOS	None	None	None	None	False	True	192.168.204.138	42069
datetime	ipAddress	SECRET_PORTS	domain	architecture	platform	os	key	dateDelay	timeDelay	persistence	loadShellcode	reverseShell	reverseIP	reversePort
2021-08-13 08:49:04.406162	192.168.204.138	[4465, 216, 1566]	unknown	unknown	unknown	macOS	None	None	None	None	False	True	192.168.204.138	42069
datetime	ipAddress	SECRET_PORTS	domain	architecture	platform	os	key	dateDelay	timeDelay	persistence	loadShellcode	reverseShell	reverseIP	reversePort
2021-08-13 08:56:35.715666	192.168.204.138	[496, 8348, 6707]	unknown	unknown	unknown	macOS	None	None	None	None	False	True	192.168.204.138	42069
